NAME,B19013_001E,B27001_001E,B01003_001E,state,county
"Rusk County, Texas",68658,47977,52842,48,401
"Sabine County, Texas",66585,9902,10023,48,403
"San Augustine County, Texas",50408,7658,7874,48,405
"San Jacinto County, Texas",65364,28255,28441,48,407
"San Patricio County, Texas",69704,69447,70181,48,409
"San Saba County, Texas",55819,5094,5696,48,411
"Schleicher County, Texas",86694,2345,2381,48,413
"Scurry County, Texas",60039,14877,16488,48,415
"Shackelford County, Texas",73047,3140,3175,48,417
"Shelby County, Texas",49776,24021,24155,48,419
"Sherman County, Texas",61250,2259,2295,48,421
"Smith County, Texas",74192,238885,241740,48,423
"Somervell County, Texas",79825,9530,9691,48,425
"Starr County, Texas",37639,65571,66067,48,427
"Stephens County, Texas",58008,8828,9351,48,429
"Sterling County, Texas",64954,1434,1468,48,431
"Stonewall County, Texas",56875,1181,1227,48,433
"Sutton County, Texas",78906,3260,3277,48,435
"Swisher County, Texas",36165,6316,6937,48,437
"Tarrant County, Texas",84207,2149206,2167390,48,439
"Taylor County, Texas",67139,139215,145863,48,441
"Terrell County, Texas",44886,835,835,48,443
"Terry County, Texas",44100,10900,11629,48,445
"Throckmorton County, Texas",59216,1639,1639,48,447
"Titus County, Texas",58425,31135,31363,48,449
"Tom Green County, Texas",68370,115188,119577,48,451
"Travis County, Texas",99611,1321294,1330015,48,453
"Trinity County, Texas",52018,13902,14046,48,455
"Tyler County, Texas",55396,18108,20238,48,457
"Upshur County, Texas",66208,42076,42567,48,459
"Upton County, Texas",49167,3119,3191,48,461
"Uvalde County, Texas",53801,24280,24881,48,463
"Val Verde County, Texas",66100,45186,47741,48,465
"Van Zandt County, Texas",69475,62038,62649,48,467
"Victoria County, Texas",70896,90348,91413,48,469
"Walker County, Texas",52324,66817,80209,48,471
"Waller County, Texas",80397,61334,61552,48,473
"Ward County, Texas",65952,11026,11144,48,475
"Washington County, Texas",77825,35764,36647,48,477
"Webb County, Texas",63058,267637,269294,48,479
"Wharton County, Texas",66924,41353,41794,48,481
"Wheeler County, Texas",60167,4773,4862,48,483
"Wichita County, Texas",63524,118011,129996,48,485
"Wilbarger County, Texas",54102,12292,12616,48,487
"Willacy County, Texas",54180,18518,20139,48,489
"Williamson County, Texas",111340,668630,672688,48,491
"Wilson County, Texas",94565,52144,52781,48,493
"Winkler County, Texas",86900,7373,7454,48,495
"Wise County, Texas",93421,73891,75005,48,497
"Wood County, Texas",60300,45740,46961,48,499
"Yoakum County, Texas",84925,7497,7571,48,501
"Young County, Texas",68010,17781,18029,48,503
"Zapata County, Texas",39239,13595,13841,48,505
"Zavala County, Texas",36749,9324,9412,48,507
"Beaver County, Utah",79360,6919,7273,49,001
"Box Elder County, Utah",84550,60857,61246,49,003
"Cache County, Utah",81665,139343,140046,49,005
"Carbon County, Utah",58377,20313,20517,49,007
"Daggett County, Utah",66000,724,783,49,009
"Davis County, Utah",110884,366384,370924,49,011
"Duchesne County, Utah",78445,19944,20185,49,013
"Emery County, Utah",74291,9993,10046,49,015
"Garfield County, Utah",61875,5076,5219,49,017
"Grand County, Utah",67106,9681,9754,49,019
"Iron County, Utah",66247,61845,62252,49,021
"Juab County, Utah",101786,12486,12586,49,023
"Kane County, Utah",77092,7923,8170,49,025
"Millard County, Utah",73639,13172,13315,49,027
"Morgan County, Utah",130929,12783,12802,49,029
"Piute County, Utah",48393,1682,1694,49,031
"Rich County, Utah",79009,2623,2631,49,033
"Salt Lake County, Utah",97494,1189413,1196523,49,035
"San Juan County, Utah",64481,14316,14483,49,037
"Sanpete County, Utah",70083,27716,29719,49,039
"Sevier County, Utah",74884,21703,22085,49,041
"Summit County, Utah",138114,42887,42970,49,043
"Tooele County, Utah",106587,78791,79347,49,045
"Uintah County, Utah",73746,36787,37056,49,047
"Utah County, Utah",100671,702375,705400,49,049
"Wasatch County, Utah",117608,36383,36642,49,051
"Washington County, Utah",80632,195038,196431,49,053
"Wayne County, Utah",76607,2570,2584,49,055
"Weber County, Utah",90005,266184,269648,49,057
"Addison County, Vermont",89639,37381,37664,50,001
"Bennington County, Vermont",73325,36773,37269,50,003
"Caledonia County, Vermont",69970,30162,30475,50,005
"Chittenden County, Vermont",96759,168534,169758,50,007
"Essex County, Vermont",59294,5980,5982,50,009
"Franklin County, Vermont",81313,49980,50638,50,011
"Grand Isle County, Vermont",97396,7439,7450,50,013
"Lamoille County, Vermont",74908,26060,26148,50,015
"Orange County, Vermont",82232,29676,29761,50,017
"Orleans County, Vermont",70103,27015,27606,50,019
"Rutland County, Vermont",68616,59836,60425,50,021
"Washington County, Vermont",83449,59411,60017,50,023
"Windham County, Vermont",72217,45654,45923,50,025
"Windsor County, Vermont",77594,57203,57990,50,027
"Accomack County, Virginia",58993,32882,33335,51,001
"Albemarle County, Virginia",104392,113554,114919,51,003
"Alleghany County, Virginia",56188,14603,14859,51,005
"Amelia County, Virginia",76717,13355,13462,51,007
"Amherst County, Virginia",68724,31062,31485,51,009
"Appomattox County, Virginia",62853,16546,16610,51,011
"Arlington County, Virginia",142114,231799,236254,51,013
"Augusta County, Virginia",82049,75306,78033,51,015
"Bath County, Virginia",56184,3984,4100,51,017
"Bedford County, Virginia",78937,80374,80894,51,019
"Bland County, Virginia",61216,5397,6199,51,021
"Botetourt County, Virginia",81213,33595,34004,51,023
"Brunswick County, Virginia",53084,13849,15841,51,025
"Buchanan County, Virginia",42886,18204,19415,51,027
"Buckingham County, Virginia",60828,14843,16976,51,029
"Campbell County, Virginia",66165,54604,55312,51,031
"Caroline County, Virginia",87407,31117,32098,51,033
"Carroll County, Virginia",54484,29001,29157,51,035
"Charles City County, Virginia",75417,6620,6627,51,036
"Charlotte County, Virginia",58000,11273,11422,51,037
"Chesterfield County, Virginia",101931,374406,377869,51,041
"Clarke County, Virginia",117111,14894,15216,51,043
"Craig County, Virginia",69057,4832,4856,51,045
"Culpeper County, Virginia",100049,52731,54397,51,047
"Cumberland County, Virginia",55325,9818,9818,51,049
"Dickenson County, Virginia",47254,13289,13733,51,051
"Dinwiddie County, Virginia",83704,27734,28191,51,053
"Essex County, Virginia",56520,10551,10623,51,057
"Fairfax County, Virginia",153637,1132414,1147837,51,059
"Fauquier County, Virginia",130189,74325,74577,51,061
"Floyd County, Virginia",62191,15521,15593,51,063
"Fluvanna County, Virginia",96768,26764,28092,51,065
"Franklin County, Virginia",68849,54714,55130,51,067
"Frederick County, Virginia",97606,93358,95008,51,069
"Giles County, Virginia",65691,16418,16557,51,071
"Gloucester County, Virginia",84306,38760,39526,51,073
"Goochland County, Virginia",118931,25437,26410,51,075
"Grayson County, Virginia",47730,14324,15287,51,077
"Greene County, Virginia",89808,20981,21155,51,079
"Greensville County, Virginia",54668,8062,11275,51,081
"Halifax County, Virginia",52013,32772,33639,51,083
"Hanover County, Virginia",112805,111856,112879,51,085
"Henrico County, Virginia",88783,332470,335744,51,087
"Henry County, Virginia",50760,48998,49980,51,089
"Highland County, Virginia",65625,2296,2296,51,091
"Isle of Wight County, Virginia",95241,39114,39974,51,093
"James City County, Virginia",109985,79037,81013,51,095
"King and Queen County, Virginia",70469,6695,6695,51,097
"King George County, Virginia",116884,27399,27896,51,099
"King William County, Virginia",86056,18525,18593,51,101
"Lancaster County, Virginia",69713,10670,10936,51,103
"Lee County, Virginia",41827,20312,21900,51,105
"Loudoun County, Virginia",181765,430931,432998,51,107
"Louisa County, Virginia",86689,39830,39980,51,109
"Lunenburg County, Virginia",54842,11062,12016,51,111
"Madison County, Virginia",84323,13907,14044,51,113
"Mathews County, Virginia",75880,8470,8540,51,115
"Mecklenburg County, Virginia",57045,29573,30516,51,117
"Middlesex County, Virginia",75060,10520,10847,51,119
"Montgomery County, Virginia",72715,98294,99101,51,121
"Nelson County, Virginia",72589,14696,14732,51,125
"New Kent County, Virginia",123314,24273,25105,51,127
"Northampton County, Virginia",61632,11781,12059,51,131
"Northumberland County, Virginia",66480,12035,12188,51,133
"Nottoway County, Virginia",63261,13628,15597,51,135
"Orange County, Virginia",94008,37217,37822,51,137
"Page County, Virginia",57037,23492,23727,51,139
"Patrick County, Virginia",53038,17143,17512,51,141
"Pittsylvania County, Virginia",54085,58488,59856,51,143
"Powhatan County, Virginia",110537,30289,31555,51,145
"Prince Edward County, Virginia",56315,20923,21996,51,147
"Prince George County, Virginia",84897,33685,43146,51,149
"Prince William County, Virginia",131402,480514,488880,51,153
"Pulaski County, Virginia",62028,32606,33687,51,155
"Rappahannock County, Virginia",83380,7418,7427,51,157
"Richmond County, Virginia",66304,7466,9095,51,159
"Roanoke County, Virginia",83709,95205,97023,51,161
"Rockbridge County, Virginia",65469,22252,22531,51,163
"Rockingham County, Virginia",80693,85110,85600,51,165
"Russell County, Virginia",50012,25313,25538,51,167
"Scott County, Virginia",46349,20725,21479,51,169
"Shenandoah County, Virginia",67191,44522,44925,51,171
"Smyth County, Virginia",49883,28760,29420,51,173
"Southampton County, Virginia",70795,16425,17964,51,175
"Spotsylvania County, Virginia",112738,145456,146603,51,177
