,geoid,uninsured_rate,uninsured_count,total_population
610,17027,0.057,1644.0,28767.0
611,17029,0.066,2371.0,36066.0
612,17031,0.0969999999999999,407619.0,4191977.0
613,17033,0.059,811.0,13691.0
614,17035,0.05,411.0,8146.0
615,17037,0.064,5256.0,82261.0
616,17039,0.057,695.0,12172.0
617,17041,0.1159999999999999,1848.0,15922.0
618,17043,0.059,44199.0,749594.0
619,17045,0.062,774.0,12451.0
620,17047,0.063,296.0,4722.0
621,17049,0.048,1349.0,27830.0
622,17051,0.076,1138.0,15006.0
623,17053,0.066,705.0,10655.0
624,17055,0.077,2273.0,29348.0
625,17057,0.063,1544.0,24349.0
626,17059,0.063,227.0,3630.0
627,17061,0.068,624.0,9188.0
628,17063,0.047,2119.0,44960.0
629,17065,0.07,435.0,6231.0
630,17067,0.059,772.0,13015.0
631,17069,0.057,149.0,2611.0
632,17071,0.06,266.0,4466.0
633,17073,0.06,2248.0,37624.0
634,17075,0.076,1554.0,20356.0
635,17077,0.072,2981.0,41252.0
636,17079,0.06,437.0,7234.0
637,17081,0.06,1664.0,27792.0
638,17083,0.052,850.0,16490.0
639,17085,0.072,1096.0,15220.0
640,17087,0.069,571.0,8289.0
641,17089,0.094,40503.0,429982.0
642,17091,0.067,5622.0,84337.0
643,17093,0.054,6555.0,121438.0
644,17095,0.066,2330.0,35084.0
645,17097,0.074,42691.0,577743.0
646,17099,0.062,5268.0,84773.0
647,17101,0.067,682.0,10173.0
648,17103,0.0559999999999999,1366.0,24564.0
649,17105,0.0579999999999999,1564.0,27078.0
650,17107,0.054,1043.0,19455.0
651,17109,0.06,1180.0,19735.0
652,17111,0.059,15346.0,259610.0
653,17113,0.049,6717.0,138405.0
654,17115,0.054,4251.0,78090.0
655,17117,0.065,2219.0,34272.0
656,17119,0.055,11509.0,211037.0
657,17121,0.065,1895.0,29075.0
658,17123,0.057,505.0,8823.0
659,17125,0.066,648.0,9868.0
660,17127,0.065,711.0,10876.0
661,17129,0.048,464.0,9589.0
662,17131,0.0559999999999999,682.0,12073.0
663,17133,0.038,1078.0,28121.0
664,17135,0.067,1350.0,20144.0
665,17137,0.06,1414.0,23730.0
666,17139,0.087,998.0,11505.0
667,17141,0.061,2497.0,41140.0
668,17143,0.0579999999999999,8282.0,141850.0
669,17145,0.062,893.0,14449.0
670,17147,0.051,672.0,13173.0
671,17149,0.079,886.0,11207.0
672,17151,0.052,132.0,2535.0
673,17153,0.059,215.0,3644.0
674,17155,0.065,273.0,4192.0
675,17157,0.073,1571.0,21606.0
676,17159,0.065,792.0,12158.0
677,17161,0.074,8104.0,109183.0
678,17163,0.053,10854.0,204172.0
679,17165,0.063,1134.0,17943.0
680,17167,0.052,8084.0,155084.0
681,17169,0.08,413.0,5138.0
682,17171,0.049,186.0,3773.0
683,17173,0.057,905.0,15834.0
684,17175,0.071,293.0,4117.0
685,17177,0.055,1820.0,33099.0
686,17179,0.05,5114.0,102786.0
687,17181,0.07,903.0,12853.0
688,17183,0.054,2976.0,55409.0
689,17185,0.0579999999999999,484.0,8394.0
690,17187,0.072,878.0,12274.0
691,17189,0.048,505.0,10610.0
692,17191,0.088,1083.0,12298.0
693,17193,0.064,663.0,10378.0
694,17195,0.059,2476.0,42319.0
695,17197,0.059,34800.0,586867.0
696,17199,0.05,2577.0,51920.0
697,17201,0.071,16136.0,227348.0
698,17203,0.051,1550.0,30404.0
699,18001,0.139,4143.0,29864.0
700,18003,0.081,26610.0,327021.0
701,18005,0.076,5234.0,68626.0
702,18007,0.0969999999999999,693.0,7118.0
703,18009,0.079,730.0,9266.0
704,18011,0.051,3223.0,63143.0
705,18013,0.077,885.0,11423.0
706,18015,0.0969999999999999,1577.0,16297.0
707,18017,0.094,2821.0,29969.0
708,18019,0.074,7656.0,102973.0
709,18021,0.068,1446.0,21192.0
710,18023,0.099,2673.0,27117.0
711,18025,0.1,829.0,8300.0
712,18027,0.1689999999999999,4720.0,27867.0
713,18029,0.07,2865.0,41204.0
714,18031,0.066,1421.0,21624.0
715,18033,0.075,2715.0,36053.0
716,18035,0.087,7452.0,86039.0
717,18037,0.078,2744.0,35139.0
718,18039,0.128,22265.0,173321.0
